"strategy"wins","draws","losses","score","points","
"19, 19, 18, 18, 18, 2, 2, 2, 2",6632,371,5093,6817.5,2
"17, 4, 4, 17, 1, 4, 17, 17, 19",6533,565,4998,6815.5,2
"3, 15, 15, 16, 15, 0, 16, 16, 4",6241,1149,4706,6815.5,2
"1, 1, 20, 19, 1, 19, 19, 19, 1",6498,632,4966,6814,2
"16, 16, 16, 2, 14, 16, 2, 2, 16",6403,822,4871,6814,2
"1, 20, 19, 19, 1, 19, 1, 19, 1",6517,593,4986,6813.5,2
"17, 4, 17, 4, 16, 4, 17, 4, 17",6574,479,5043,6813.5,2
"17, 5, 17, 2, 17, 3, 17, 5, 17",6566,493,5037,6812.5,2
"1, 1, 19, 20, 1, 19, 19, 19, 1",6497,630,4969,6812,2
"2, 2, 16, 15, 2, 15, 16, 16, 16",6256,1112,4728,6812,2
"1, 1, 19, 20, 1, 19, 19, 19, 1",6497,630,4969,6812,2
"19, 1, 19, 19, 2, 1, 19, 1, 19",6576,469,5051,6810.5,2
"2, 15, 15, 16, 2, 16, 16, 16, 2",6192,1236,4668,6810,2
"18, 3, 18, 3, 18, 2, 18, 2, 18",6619,380,5097,6809,2
"18, 3, 18, 3, 18, 2, 18, 2, 18",6619,380,5097,6809,2
"1, 19, 19, 20, 1, 19, 1, 2, 18",6529,556,5011,6807,2
"19, 19, 1, 19, 1, 1, 19, 19, 2",6551,508,5037,6805,2
"18, 3, 3, 17, 18, 17, 3, 3, 18",6577,454,5065,6804,2
"16, 16, 2, 2, 2, 2, 20, 20, 20",6507,592,4997,6803,2
"1, 2, 19, 19, 1, 1, 19, 19, 19",6526,552,5018,6802,2
"1, 19, 19, 20, 1, 19, 19, 1, 1",6487,628,4981,6801,2
"18, 2, 18, 3, 18, 3, 18, 2, 18",6611,377,5108,6799.5,2
"2, 2, 15, 15, 2, 16, 16, 16, 16",6228,1142,4726,6799,2
"1, 2, 2, 16, 16, 16, 16, 16, 15",6321,954,4821,6798,2
"1, 1, 19, 19, 1, 19, 19, 2, 19",6517,562,5017,6798,2
"1, 19, 1, 19, 1, 21, 19, 18, 1",6504,587,5005,6797.5,2
"15, 16, 2, 15, 4, 15, 2, 16, 15",6263,1066,4767,6796,1
"2, 2, 2, 2, 21, 20, 17, 17, 17",6540,512,5044,6796,1
"17, 3, 17, 3, 17, 3, 17, 3, 20",6524,543,5029,6795.5,1
"2, 16, 15, 16, 1, 16, 15, 16, 3",6161,1268,4667,6795,1
"19, 2, 19, 1, 1, 19, 19, 19, 1",6530,528,5038,6794,1
"4, 1, 16, 1, 17, 15, 16, 15, 15",6280,1025,4791,6792.5,1
"19, 2, 19, 2, 0, 19, 19, 18, 2",6581,422,5093,6792,1
"3, 2, 21, 2, 7, 21, 21, 2, 21",6603,375,5118,6790.5,1
"1, 1, 2, 19, 1, 19, 19, 19, 19",6512,557,5027,6790.5,1
"16, 18, 15, 16, 18, 17, 0, 0, 0",6441,694,4961,6788,1
"17, 17, 7, 16, 2, 17, 17, 6, 1",6483,610,5003,6788,1
"16, 2, 16, 2, 14, 2, 16, 16, 16",6393,789,4914,6787.5,1
"1, 15, 17, 15, 2, 17, 15, 17, 1",6223,1128,4745,6787,1
"1, 15, 16, 16, 4, 15, 17, 15, 1",6176,1220,4700,6786,1
"1, 16, 16, 16, 16, 2, 15, 2, 16",6307,957,4832,6785.5,1
"15, 16, 16, 2, 16, 2, 16, 2, 15",6340,891,4865,6785.5,1
"1, 19, 19, 1, 1, 19, 20, 1, 19",6498,571,5027,6783.5,1
"1, 19, 19, 20, 1, 1, 20, 1, 18",6482,590,5024,6777,1
"3, 16, 16, 15, 1, 15, 16, 15, 3",6116,1321,4659,6776.5,1
"17, 4, 16, 4, 17, 4, 17, 4, 17",6519,512,5065,6775,1
"2, 15, 16, 2, 16, 16, 2, 16, 15",6250,1046,4800,6773,1
"2, 17, 15, 15, 2, 17, 2, 16, 14",6238,1068,4790,6772,1
"4, 15, 16, 2, 14, 2, 16, 15, 16",6265,1013,4818,6771.5,1
"1, 15, 16, 16, 5, 15, 15, 16, 1",6139,1264,4693,6771,1
"16, 2, 1, 16, 16, 2, 15, 16, 16",6363,816,4917,6771,1
"2, 16, 3, 16, 2, 15, 15, 16, 15",6191,1158,4747,6770,1
"16, 16, 16, 2, 15, 16, 15, 2, 2",6295,944,4857,6767,1
"1, 15, 16, 15, 5, 15, 16, 16, 1",6127,1279,4690,6766.5,1
"2, 16, 16, 15, 16, 15, 2, 16, 2",6225,1083,4788,6766.5,1
"17, 1, 15, 16, 1, 1, 18, 16, 15",6275,981,4840,6765.5,1
"17, 3, 17, 2, 17, 3, 17, 3, 21",6511,505,5080,6763.5,1
"1, 19, 1, 19, 1, 20, 20, 19, 0",6477,573,5046,6763.5,1
"1, 19, 1, 19, 1, 20, 20, 19, 0",6477,573,5046,6763.5,1
"1, 19, 1, 19, 1, 19, 19, 1, 20",6470,582,5044,6761,1
"16, 16, 2, 15, 16, 16, 16, 2, 1",6287,948,4861,6761,1
"2, 15, 16, 17, 16, 15, 2, 1, 16",6255,1001,4840,6755.5,1
"18, 0, 18, 0, 18, 18, 5, 5, 18",6588,333,5175,6754.5,1
"5, 15, 0, 15, 5, 15, 15, 15, 15",6131,1245,4720,6753.5,0
"0, 15, 15, 17, 5, 15, 17, 16, 0",6197,1112,4787,6753,0
"1, 1, 17, 17, 7, 16, 16, 10, 15",6350,791,4955,6745.5,0
"2, 15, 15, 1, 16, 1, 16, 18, 16",6254,978,4864,6743,0
"19, 19, 2, 19, 1, 1, 1, 19, 19",6511,462,5123,6742,0
"1, 20, 20, 20, 1, 1, 20, 1, 16",6409,661,5026,6739.5,0
"4, 20, 19, 3, 3, 19, 3, 11, 18",6491,492,5113,6737,0
"19, 1, 2, 19, 1, 1, 19, 19, 19",6493,487,5116,6736.5,0
"0, 16, 15, 17, 3, 15, 18, 15, 1",6171,1129,4796,6735.5,0
"2, 20, 2, 16, 20, 16, 2, 20, 2",6404,660,5032,6734,0
"18, 2, 2, 18, 20, 2, 18, 2, 18",6544,379,5173,6733.5,0
"2, 1, 16, 17, 2, 15, 16, 14, 17",6206,1053,4837,6732.5,0
"7, 6, 5, 16, 5, 15, 15, 15, 16",6297,864,4935,6729,0
"19, 2, 17, 3, 20, 1, 18, 4, 16",6482,490,5124,6727,0
"1, 19, 1, 19, 20, 19, 1, 19, 1",6464,526,5106,6727,0
"5, 15, 15, 0, 5, 15, 15, 15, 15",6080,1293,4723,6726.5,0
"5, 15, 15, 0, 5, 15, 15, 15, 15",6080,1293,4723,6726.5,0
"19, 1, 19, 1, 1, 19, 19, 1, 20",6466,518,5112,6725,0
"19, 2, 18, 2, 18, 2, 19, 1, 19",6534,381,5181,6724.5,0
"16, 16, 16, 5, 16, 5, 5, 16, 5",6380,687,5029,6723.5,0
"17, 16, 16, 15, 16, 15, 1, 2, 2",6238,970,4888,6723,0
"14, 0, 16, 15, 15, 16, 18, 3, 3",6256,930,4910,6721,0
"16, 15, 16, 16, 16, 2, 2, 2, 15",6263,916,4917,6721,0
"1, 1, 20, 20, 16, 1, 20, 20, 1",6411,613,5072,6717.5,0
"1, 1, 18, 20, 20, 20, 18, 1, 1",6428,578,5090,6717,0
"1, 1, 1, 2, 19, 19, 19, 19, 19",6485,464,5147,6717,0
"16, 15, 1, 16, 5, 16, 7, 16, 8",6299,832,4965,6715,0
"8, 18, 14, 18, 1, 18, 5, 17, 1",6372,683,5041,6713.5,0
"18, 1, 15, 17, 1, 17, 1, 15, 15",6232,962,4902,6713,0
"2, 15, 15, 2, 16, 16, 2, 16, 16",6175,1067,4854,6708.5,0
"15, 15, 17, 17, 17, 4, 5, 5, 5",6371,673,5052,6707.5,0
"1, 16, 16, 16, 5, 13, 16, 16, 1",6136,1139,4821,6705.5,0
"5, 15, 16, 0, 5, 14, 16, 15, 14",6100,1211,4785,6705.5,0
"0, 18, 0, 0, 18, 18, 15, 15, 16",6358,693,5045,6704.5,0
"15, 16, 3, 2, 15, 2, 16, 15, 16",6259,888,4949,6703,0
"3, 3, 15, 16, 15, 3, 21, 21, 3",6300,806,4990,6703,0
"3, 16, 15, 15, 3, 15, 15, 15, 3",5995,1414,4687,6702,0
"1, 19, 1, 1, 19, 19, 1, 20, 19",6481,441,5174,6701.5,0
"1, 1, 1, 1, 19, 20, 19, 19, 19",6464,467,5165,6697.5,0
"18, 0, 6, 18, 18, 18, 4, 18, 0",6539,316,5241,6697,0
"16, 2, 2, 16, 16, 15, 16, 2, 15",6255,882,4959,6696,0
"19, 19, 1, 19, 18, 2, 1, 2, 19",6517,357,5222,6695.5,0
"1, 1, 1, 1, 20, 19, 19, 19, 19",6443,505,5148,6695.5,0
"3, 15, 15, 16, 4, 15, 15, 15, 2",6009,1370,4717,6694,0
"18, 4, 3, 4, 20, 17, 2, 17, 15",6423,536,5137,6691,0
"3, 21, 21, 3, 3, 16, 16, 13, 4",6274,833,4989,6690.5,0
"3, 15, 15, 15, 3, 16, 15, 15, 3",5966,1442,4688,6687,0
"3, 15, 15, 15, 3, 16, 15, 15, 3",5966,1442,4688,6687,0
"19, 1, 20, 1, 19, 1, 19, 19, 1",6458,455,5183,6685.5,0
"19, 1, 19, 19, 19, 2, 19, 1, 1",6472,427,5197,6685.5,0
"1, 19, 1, 20, 0, 20, 19, 1, 19",6424,516,5156,6682,0
"19, 1, 19, 1, 20, 1, 19, 19, 1",6444,476,5176,6682,0
"2, 15, 2, 14, 0, 17, 17, 17, 16",6202,953,4941,6678.5,0
"3, 15, 15, 15, 3, 15, 15, 16, 3",5953,1443,4700,6674.5,0
"4, 5, 14, 14, 6, 17, 17, 6, 17",6280,787,5029,6673.5,0
"3, 15, 15, 15, 3, 15, 16, 15, 3",5951,1444,4701,6673,0
"3, 15, 15, 15, 3, 15, 16, 15, 3",5951,1444,4701,6673,0
"1, 1, 18, 0, 20, 0, 20, 20, 20",6421,502,5173,6672,0
"5, 21, 15, 21, 4, 2, 17, 13, 2",6299,744,5053,6671,0
"16, 16, 19, 17, 4, 13, 5, 5, 5",6323,694,5079,6670,0
"19, 2, 17, 2, 20, 3, 16, 3, 18",6400,536,5160,6668,0
"20, 19, 19, 19, 19, 1, 1, 1, 1",6452,431,5213,6667.5,0
"6, 6, 15, 15, 6, 6, 15, 16, 15",6208,917,4971,6666.5,0
"16, 16, 15, 15, 15, 16, 2, 3, 2",6148,1037,4911,6666.5,0
"19, 2, 19, 1, 19, 1, 19, 1, 19",6474,384,5238,6666,0
"2, 16, 15, 15, 3, 15, 15, 15, 4",5983,1366,4747,6666,0
"20, 16, 20, 20, 1, 1, 1, 1, 20",6337,647,5112,6660.5,0
"3, 4, 16, 16, 1, 15, 15, 15, 15",6034,1248,4814,6658,0
"1, 19, 1, 19, 19, 1, 1, 19, 19",6436,441,5219,6656.5,0
"15, 15, 16, 15, 18, 18, 1, 1, 1",6183,943,4970,6654.5,0
"4, 15, 15, 15, 4, 15, 15, 15, 2",5960,1389,4747,6654.5,0
"4, 21, 4, 21, 0, 21, 4, 21, 4",6463,381,5252,6653.5,0
"5, 21, 1, 21, 21, 5, 21, 1, 4",6465,372,5259,6651,0
"19, 1, 19, 1, 19, 19, 1, 1, 20",6451,397,5248,6649.5,0
"2, 15, 17, 16, 3, 15, 14, 15, 3",6000,1299,4797,6649.5,0
"4, 15, 15, 15, 5, 15, 15, 15, 1",5941,1414,4741,6648,0
"15, 16, 2, 3, 15, 15, 16, 3, 15",6156,978,4962,6645,0
"16, 16, 15, 16, 16, 15, 3, 2, 1",6131,1025,4940,6643.5,0
"0, 0, 2, 2, 19, 19, 19, 19, 20",6444,398,5254,6643,0
"15, 16, 3, 15, 3, 15, 3, 15, 15",6064,1156,4876,6642,0
"1, 21, 1, 21, 1, 21, 16, 2, 16",6312,658,5126,6641,0
"19, 1, 19, 1, 20, 1, 19, 1, 19",6419,439,5238,6638.5,0
"19, 1, 19, 1, 20, 1, 19, 1, 19",6419,439,5238,6638.5,0
"18, 20, 4, 2, 20, 16, 16, 2, 2",6345,587,5164,6638.5,0
"0, 19, 0, 19, 0, 5, 19, 19, 19",6444,389,5263,6638.5,0
"17, 15, 17, 2, 15, 2, 15, 2, 15",6183,911,5002,6638.5,0
"20, 1, 19, 1, 19, 1, 19, 1, 19",6431,410,5255,6636,0
"0, 20, 20, 20, 0, 1, 1, 18, 20",6397,475,5224,6634.5,0
"15, 15, 16, 3, 3, 15, 15, 15, 3",5995,1275,4826,6632.5,0
"1, 20, 1, 20, 20, 16, 1, 20, 1",6308,649,5139,6632.5,0
"19, 19, 1, 1, 20, 1, 19, 1, 19",6414,433,5249,6630.5,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 15, 15, 4, 15, 15, 15, 3",5902,1454,4740,6629,0
"3, 15, 1, 15, 15, 15, 4, 17, 15",6063,1130,4903,6628,0
"20, 1, 20, 1, 16, 1, 20, 1, 20",6372,511,5213,6627.5,0
"1, 15, 15, 16, 2, 16, 15, 15, 5",5972,1305,4819,6624.5,0
"16, 1, 20, 1, 20, 1, 20, 1, 20",6363,522,5211,6624,0
"6, 7, 16, 16, 4, 16, 7, 7, 21",6348,552,5196,6624,0
"3, 15, 15, 15, 4, 15, 3, 15, 15",5938,1371,4787,6623.5,0
"4, 15, 15, 15, 6, 15, 15, 15, 0",5958,1328,4810,6622,0
"2, 14, 2, 15, 3, 15, 16, 16, 17",6046,1149,4901,6620.5,0
"16, 5, 16, 5, 16, 5, 16, 5, 16",6298,636,5162,6616,0
"16, 5, 16, 5, 16, 5, 16, 5, 16",6298,636,5162,6616,0
"16, 5, 16, 5, 16, 5, 16, 5, 16",6298,636,5162,6616,0
"16, 5, 16, 5, 16, 5, 16, 5, 16",6298,636,5162,6616,0
"3, 21, 21, 21, 21, 4, 1, 4, 4",6415,401,5280,6615.5,0
"3, 15, 15, 15, 3, 15, 15, 15, 4",5880,1463,4753,6611.5,0
"1, 17, 17, 14, 1, 14, 17, 17, 2",6095,1031,4970,6610.5,0
"3, 15, 16, 15, 15, 15, 3, 15, 3",5973,1269,4854,6607.5,0
"17, 2, 16, 2, 15, 14, 16, 16, 2",6140,935,5021,6607.5,0
"3, 3, 16, 3, 15, 15, 15, 15, 15",6028,1158,4910,6607,0
"21, 21, 21, 21, 8, 2, 2, 2, 2",6451,311,5334,6606.5,0
"15, 15, 3, 15, 5, 15, 2, 15, 15",6009,1191,4896,6604.5,0
"21, 3, 21, 3, 4, 3, 21, 3, 21",6409,384,5303,6601,0
"0, 20, 20, 20, 0, 20, 0, 20, 0",6369,464,5263,6601,0
"20, 20, 20, 0, 0, 20, 0, 20, 0",6385,431,5280,6600.5,0
"0, 0, 20, 20, 0, 20, 20, 20, 0",6360,480,5256,6600,0
"16, 16, 15, 15, 1, 1, 20, 15, 1",6025,1146,4925,6598,0
"0, 20, 20, 20, 0, 0, 0, 20, 20",6372,448,5276,6596,0
"2, 15, 15, 15, 6, 15, 2, 15, 15",5946,1299,4851,6595.5,0
"0, 20, 0, 20, 0, 20, 20, 20, 0",6368,455,5273,6595.5,0
"3, 3, 5, 9, 16, 16, 16, 16, 16",6205,780,5111,6595,0
"20, 0, 20, 20, 0, 20, 0, 20, 0",6376,436,5284,6594,0
"0, 1, 18, 1, 20, 1, 18, 19, 22",6375,437,5284,6593.5,0
"0, 20, 0, 20, 0, 20, 0, 20, 20",6376,434,5286,6593,0
"2, 15, 15, 15, 4, 15, 15, 15, 4",5890,1406,4800,6593,0
"0, 0, 0, 20, 0, 20, 20, 20, 20",6367,450,5279,6592,0
"15, 15, 15, 2, 6, 15, 2, 15, 15",6004,1176,4916,6592,0
"0, 0, 0, 20, 0, 20, 20, 20, 20",6367,450,5279,6592,0
"15, 2, 15, 15, 5, 15, 3, 15, 15",5997,1188,4911,6591,0
"2, 15, 15, 15, 5, 15, 15, 15, 3",5877,1427,4792,6590.5,0
"0, 17, 7, 17, 17, 17, 7, 18, 0",6373,433,5290,6589.5,0
"20, 20, 0, 20, 0, 20, 0, 20, 0",6384,411,5301,6589.5,0
"16, 3, 3, 15, 15, 16, 2, 15, 15",6104,970,5022,6589,0
"16, 14, 16, 2, 4, 2, 16, 14, 16",6087,1003,5006,6588.5,0
"11, 3, 16, 16, 3, 16, 18, 8, 9",6246,684,5166,6588,0
"16, 1, 15, 1, 19, 16, 15, 16, 1",6102,966,5028,6585,0
"3, 16, 17, 14, 3, 16, 14, 14, 3",5932,1301,4863,6582.5,0
"3, 15, 15, 15, 15, 15, 16, 3, 3",5922,1318,4856,6581,0
"0, 0, 20, 0, 20, 20, 0, 20, 20",6356,447,5293,6579.5,0
"15, 15, 15, 2, 6, 15, 15, 2, 15",5987,1183,4926,6578.5,0
"1, 16, 12, 3, 5, 16, 16, 15, 16",6088,979,5029,6577.5,0
"1, 15, 15, 16, 5, 14, 16, 15, 3",5897,1358,4841,6576,0
"15, 3, 3, 15, 4, 15, 15, 15, 15",5993,1166,4937,6576,0
"20, 0, 20, 20, 0, 0, 20, 0, 20",6360,430,5306,6575,0
"16, 16, 6, 6, 1, 6, 16, 17, 16",6232,684,5180,6574,0
"0, 0, 0, 0, 20, 20, 20, 20, 20",6355,438,5303,6574,0
"0, 0, 0, 0, 20, 20, 20, 20, 20",6355,438,5303,6574,0
"0, 0, 0, 0, 20, 20, 20, 20, 20",6355,438,5303,6574,0
"0, 0, 0, 0, 20, 20, 20, 20, 20",6355,438,5303,6574,0
"0, 0, 0, 0, 20, 20, 20, 20, 20",6355,438,5303,6574,0
"20, 0, 20, 0, 20, 0, 20, 20, 0",6359,429,5308,6573.5,0
"3, 15, 15, 15, 3, 15, 15, 4, 15",5876,1392,4828,6572,0
"0, 20, 0, 20, 20, 20, 0, 20, 0",6356,432,5308,6572,0
"0, 0, 0, 20, 20, 20, 20, 20, 0",6347,448,5301,6571,0
"0, 0, 0, 20, 20, 20, 20, 20, 0",6347,448,5301,6571,0
"18, 14, 18, 5, 2, 5, 18, 2, 18",6290,560,5246,6570,0
"15, 15, 3, 15, 4, 15, 15, 3, 15",5963,1213,4920,6569.5,0
"0, 20, 20, 0, 20, 20, 20, 0, 0",6338,462,5296,6569,0
"15, 15, 3, 15, 4, 15, 3, 15, 15",5971,1196,4929,6569,0
"15, 15, 16, 15, 2, 3, 15, 4, 15",5991,1155,4950,6568.5,0
"20, 0, 20, 20, 20, 0, 0, 20, 0",6359,418,5319,6568,0
"6, 7, 7, 8, 8, 16, 16, 16, 16",6297,542,5257,6568,0
"15, 15, 15, 15, 4, 3, 15, 15, 3",5916,1303,4877,6567.5,0
"14, 16, 4, 16, 0, 16, 4, 16, 14",6093,948,5055,6567,0
"16, 15, 3, 15, 3, 15, 15, 15, 3",5930,1273,4893,6566.5,0
"20, 20, 0, 0, 20, 0, 0, 20, 20",6375,383,5338,6566.5,0
"20, 20, 0, 0, 20, 0, 0, 20, 20",6375,383,5338,6566.5,0
"3, 15, 15, 14, 2, 15, 18, 1, 17",5957,1218,4921,6566,0
"0, 0, 20, 0, 20, 20, 20, 0, 20",6337,457,5302,6565.5,0
"3, 15, 15, 15, 3, 4, 15, 15, 15",5878,1374,4844,6565,0
"3, 15, 15, 15, 3, 15, 4, 15, 15",5865,1399,4832,6564.5,0
"3, 3, 21, 3, 22, 21, 3, 21, 3",6337,454,5305,6564,0
"0, 20, 20, 20, 20, 20, 0, 0, 0",6338,451,5307,6563.5,0
"16, 15, 3, 2, 15, 15, 16, 15, 3",6022,1079,4995,6561.5,0
"15, 15, 15, 3, 4, 3, 15, 15, 15",5949,1222,4925,6560,0
"15, 15, 15, 15, 4, 15, 3, 3, 15",5934,1249,4913,6558.5,0
"4, 3, 3, 15, 15, 15, 15, 15, 15",5980,1156,4960,6558,0
"3, 22, 2, 22, 2, 22, 2, 22, 3",6328,459,5309,6557.5,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"20, 0, 20, 0, 20, 0, 20, 0, 20",6348,418,5330,6557,0
"0, 20, 0, 20, 20, 20, 0, 0, 20",6345,421,5330,6555.5,0
"20, 20, 20, 20, 20, 0, 0, 0, 0",6349,412,5335,6555,0
"20, 20, 20, 20, 20, 0, 0, 0, 0",6349,412,5335,6555,0
"20, 20, 20, 20, 20, 0, 0, 0, 0",6349,412,5335,6555,0
"5, 15, 15, 15, 1, 15, 15, 15, 4",5843,1423,4830,6554.5,0
"3, 3, 10, 15, 17, 16, 17, 2, 17",6163,773,5160,6549.5,0
"17, 9, 18, 0, 15, 0, 19, 2, 20",6327,444,5325,6549,0
"2, 16, 16, 16, 16, 16, 11, 5, 2",6106,884,5106,6548,0
"3, 14, 16, 15, 4, 14, 15, 16, 3",5875,1344,4877,6547,0
"11, 16, 21, 1, 2, 1, 21, 16, 11",6239,613,5244,6545.5,0
"15, 3, 16, 3, 15, 15, 15, 3, 15",6024,1036,5036,6542,0
"3, 3, 14, 15, 15, 16, 16, 15, 3",5924,1224,4948,6536,0
"6, 15, 15, 15, 7, 15, 5, 7, 15",6023,1025,5048,6535.5,0
"5, 16, 10, 4, 5, 16, 16, 14, 14",6055,957,5084,6533.5,0
"4, 15, 15, 15, 1, 15, 15, 15, 5",5824,1417,4855,6532.5,0
"16, 6, 16, 6, 16, 6, 16, 2, 16",6234,593,5269,6530.5,0
"4, 15, 14, 15, 4, 15, 15, 15, 3",5822,1413,4861,6528.5,0
